200517 212526.468|CONFIG|Thread-4|setFileHandlers|Now logging to E:\CODE\C++\pc2Client - Copy\bin\logs directory.
200517 212629.182|INFO|Thread-10|dumpPacket|    To: TEAM360 @ site 1
200517 212629.183|INFO|Thread-10|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE2 @ site 1 judgement No_-_Compilation_Error--7429340504202875971 id JudgementRecord--4955739303473349203
200517 212629.183|INFO|Thread-10|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14881 JUDGED 9238 min 554334957ms from TEAM360 @ site 1 id Run-7341838308363104632 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212629.183|INFO|Thread-10|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200517 212655.013|INFO|Thread-10|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 14881 JUDGED 9238 min 554334957ms from TEAM360 @ site 1 id Run-7341838308363104632 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078; runFiles=null
200517 212655.013|INFO|Thread-10|runChanged|Event not for me: sent to null but my ID is TEAM360 @ site 1
200517 212655.014|INFO|Thread-10|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #168414 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212657.834|INFO|Thread-9|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #168404 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212719.883|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for CONTEST 6 - BAI 3 C/C++ file: E:\CODE\C++\Contest6 - Sap xep va Tim kiem\3_sorting-3.cpp
200517 212719.887|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #5 TEAM360 @ site 1 -> SERVER0 @ site 1
200517 212719.888|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #5 TEAM360 @ site 1 -> SERVER0 @ site 1
200517 212722.523|INFO|Thread-12|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #168438 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212722.523|INFO|Thread-12|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #168438, o#168438 ) recieveObject
200517 212722.524|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212722.524|INFO|Thread-12|dumpPacket|    To: TEAM360 @ site 1
200517 212722.524|INFO|Thread-12|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14884 QUEUED_FOR_COMPUTER_JUDGEMENT 9239 min 554395238ms from TEAM360 @ site 1 id Run--7208692752776156719 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212722.524|INFO|Thread-12|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #168438 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212722.525|INFO|Thread-12|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #168438, o#168438 ) handlePacket
200517 212722.525|INFO|Thread-12|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212722.525|INFO|Thread-12|dumpPacket|    To: TEAM360 @ site 1
200517 212722.525|INFO|Thread-12|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14884 QUEUED_FOR_COMPUTER_JUDGEMENT 9239 min 554395238ms from TEAM360 @ site 1 id Run--7208692752776156719 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212728.632|INFO|Thread-13|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #168448 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212728.632|INFO|Thread-13|dumpPacket|Packet RUN_JUDGEMENT (Seq #168448, o#168448 ) recieveObject
200517 212728.632|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212728.632|INFO|Thread-13|dumpPacket|    To: TEAM360 @ site 1
200517 212728.632|INFO|Thread-13|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No_-_Compilation_Error--7429340504202875971 id JudgementRecord-1272566528187458074
200517 212728.633|INFO|Thread-13|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14884 JUDGED 9239 min 554395238ms from TEAM360 @ site 1 id Run--7208692752776156719 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212728.633|INFO|Thread-13|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200517 212728.633|INFO|Thread-13|info|handlePacket start Packet[RUN_JUDGEMENT] #168448 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212728.633|INFO|Thread-13|dumpPacket|Packet RUN_JUDGEMENT (Seq #168448, o#168448 ) handlePacket
200517 212728.633|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212728.633|INFO|Thread-13|dumpPacket|    To: TEAM360 @ site 1
200517 212728.634|INFO|Thread-13|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No_-_Compilation_Error--7429340504202875971 id JudgementRecord-1272566528187458074
200517 212728.634|INFO|Thread-13|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14884 JUDGED 9239 min 554395238ms from TEAM360 @ site 1 id Run--7208692752776156719 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212728.634|INFO|Thread-13|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200517 212732.359|INFO|Thread-13|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 14884 JUDGED 9239 min 554395238ms from TEAM360 @ site 1 id Run--7208692752776156719 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078; runFiles=null
200517 212732.360|INFO|Thread-13|runChanged|Event not for me: sent to null but my ID is TEAM360 @ site 1
200517 212732.360|INFO|Thread-13|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #168448 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212843.366|INFO|Thread-12|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #168438 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212908.184|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for CONTEST 6 - BAI 3 C/C++ file: C:\Users\Admin\Desktop\sinh_test.cpp
200517 212908.185|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #6 TEAM360 @ site 1 -> SERVER0 @ site 1
200517 212908.186|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #6 TEAM360 @ site 1 -> SERVER0 @ site 1
200517 212911.284|INFO|Thread-15|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #168450 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212911.284|INFO|Thread-15|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #168450, o#168450 ) recieveObject
200517 212911.284|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212911.285|INFO|Thread-15|dumpPacket|    To: TEAM360 @ site 1
200517 212911.285|INFO|Thread-15|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14885 QUEUED_FOR_COMPUTER_JUDGEMENT 9241 min 554503533ms from TEAM360 @ site 1 id Run--7834989459222772292 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212911.285|INFO|Thread-15|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #168450 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212911.285|INFO|Thread-15|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #168450, o#168450 ) handlePacket
200517 212911.285|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212911.285|INFO|Thread-15|dumpPacket|    To: TEAM360 @ site 1
200517 212911.286|INFO|Thread-15|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14885 QUEUED_FOR_COMPUTER_JUDGEMENT 9241 min 554503533ms from TEAM360 @ site 1 id Run--7834989459222772292 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212917.674|INFO|Thread-16|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #168460 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212917.674|INFO|Thread-16|dumpPacket|Packet RUN_JUDGEMENT (Seq #168460, o#168460 ) recieveObject
200517 212917.675|INFO|Thread-16|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212917.675|INFO|Thread-16|dumpPacket|    To: TEAM360 @ site 1
200517 212917.675|INFO|Thread-16|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE4 @ site 1 judgement No_-_Compilation_Error--7429340504202875971 id JudgementRecord-5135682880881840359
200517 212917.675|INFO|Thread-16|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14885 JUDGED 9241 min 554503533ms from TEAM360 @ site 1 id Run--7834989459222772292 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212917.675|INFO|Thread-16|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200517 212917.675|INFO|Thread-16|info|handlePacket start Packet[RUN_JUDGEMENT] #168460 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212917.676|INFO|Thread-16|dumpPacket|Packet RUN_JUDGEMENT (Seq #168460, o#168460 ) handlePacket
200517 212917.676|INFO|Thread-16|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212917.676|INFO|Thread-16|dumpPacket|    To: TEAM360 @ site 1
200517 212917.676|INFO|Thread-16|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE4 @ site 1 judgement No_-_Compilation_Error--7429340504202875971 id JudgementRecord-5135682880881840359
200517 212917.676|INFO|Thread-16|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14885 JUDGED 9241 min 554503533ms from TEAM360 @ site 1 id Run--7834989459222772292 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212917.676|INFO|Thread-16|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200517 212922.969|INFO|Thread-16|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 14885 JUDGED 9241 min 554503533ms from TEAM360 @ site 1 id Run--7834989459222772292 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078; runFiles=null
200517 212922.970|INFO|Thread-16|runChanged|Event not for me: sent to null but my ID is TEAM360 @ site 1
200517 212922.970|INFO|Thread-16|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #168460 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212924.426|INFO|Thread-15|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #168450 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212942.399|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for CONTEST 6 - BAI 3 C/C++ file: E:\CODE\C++\Contest6 - Sap xep va Tim kiem\3_sorting-3.cpp
200517 212942.407|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #7 TEAM360 @ site 1 -> SERVER0 @ site 1
200517 212942.407|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #7 TEAM360 @ site 1 -> SERVER0 @ site 1
200517 212945.534|INFO|Thread-18|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #168472 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212945.535|INFO|Thread-18|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #168472, o#168472 ) recieveObject
200517 212945.535|INFO|Thread-18|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212945.535|INFO|Thread-18|dumpPacket|    To: TEAM360 @ site 1
200517 212945.535|INFO|Thread-18|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14887 QUEUED_FOR_COMPUTER_JUDGEMENT 9242 min 554537751ms from TEAM360 @ site 1 id Run-7944153323432192129 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212945.535|INFO|Thread-18|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #168472 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212945.536|INFO|Thread-18|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #168472, o#168472 ) handlePacket
200517 212945.536|INFO|Thread-18|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212945.536|INFO|Thread-18|dumpPacket|    To: TEAM360 @ site 1
200517 212945.536|INFO|Thread-18|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14887 QUEUED_FOR_COMPUTER_JUDGEMENT 9242 min 554537751ms from TEAM360 @ site 1 id Run-7944153323432192129 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212956.931|INFO|Thread-19|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #168484 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212956.932|INFO|Thread-19|dumpPacket|Packet RUN_JUDGEMENT (Seq #168484, o#168484 ) recieveObject
200517 212956.932|INFO|Thread-19|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212956.932|INFO|Thread-19|dumpPacket|    To: TEAM360 @ site 1
200517 212956.932|INFO|Thread-19|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No_-_Wrong_Answer--4278751967443409189 id JudgementRecord--8981070337168784625
200517 212956.932|INFO|Thread-19|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14887 JUDGED 9242 min 554537751ms from TEAM360 @ site 1 id Run-7944153323432192129 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212956.932|INFO|Thread-19|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200517 212956.933|INFO|Thread-19|info|handlePacket start Packet[RUN_JUDGEMENT] #168484 SERVER0 @ site 1 -> TEAM360 @ site 1
200517 212956.933|INFO|Thread-19|dumpPacket|Packet RUN_JUDGEMENT (Seq #168484, o#168484 ) handlePacket
200517 212956.933|INFO|Thread-19|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-ACM1 @ 10.99.3.97) (Contest Id: Default-189234830985629705)
200517 212956.933|INFO|Thread-19|dumpPacket|    To: TEAM360 @ site 1
200517 212956.933|INFO|Thread-19|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No_-_Wrong_Answer--4278751967443409189 id JudgementRecord--8981070337168784625
200517 212956.933|INFO|Thread-19|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 14887 JUDGED 9242 min 554537751ms from TEAM360 @ site 1 id Run-7944153323432192129 problem CONTEST_6_-_BAI_3-48176644520737877 lang C/C++-2403438320861709078
200517 212956.933|INFO|Thread-19|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
