200603 181009.222|CONFIG|Thread-4|setFileHandlers|Now logging to E:\CODE\C++\pc2Client\bin\logs directory.
200603 181029.673|INFO|Thread-7|info|handlePacket end Packet[ADD_SETTING] #336 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 181029.674|INFO|Thread-7|info| receiveObject(S) end   got Packet[ADD_SETTING] #336 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 182729.904|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for KIEM TRA - BAI 1 C/C++ file: C:\Users\Admin\Desktop\kt\bai1.cpp
200603 182729.907|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #3 TEAM73 @ site 1 -> SERVER0 @ site 1
200603 182729.908|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #3 TEAM73 @ site 1 -> SERVER0 @ site 1
200603 182730.120|INFO|Thread-9|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #580 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 182730.120|INFO|Thread-9|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #580, o#580 ) recieveObject
200603 182730.120|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 182730.121|INFO|Thread-9|dumpPacket|    To: TEAM73 @ site 1
200603 182730.121|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 22 QUEUED_FOR_COMPUTER_JUDGEMENT 22 min 1344440ms from TEAM73 @ site 1 id Run--7907584274492970927 problem KIEM_TRA_-_BAI_1-3463902604115463669 lang C/C++-5592322842927734949
200603 182730.121|INFO|Thread-9|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #580 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 182730.122|INFO|Thread-9|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #580, o#580 ) handlePacket
200603 182730.122|INFO|Thread-9|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 182730.122|INFO|Thread-9|dumpPacket|    To: TEAM73 @ site 1
200603 182730.122|INFO|Thread-9|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 22 QUEUED_FOR_COMPUTER_JUDGEMENT 22 min 1344440ms from TEAM73 @ site 1 id Run--7907584274492970927 problem KIEM_TRA_-_BAI_1-3463902604115463669 lang C/C++-5592322842927734949
200603 182731.203|INFO|Thread-10|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #585 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 182731.205|INFO|Thread-10|dumpPacket|Packet RUN_JUDGEMENT (Seq #585, o#585 ) recieveObject
200603 182731.206|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 182731.207|INFO|Thread-10|dumpPacket|    To: TEAM73 @ site 1
200603 182731.208|INFO|Thread-10|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes-871190264187916889 id JudgementRecord-470821345528303901
200603 182731.208|INFO|Thread-10|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 22 JUDGED 22 min 1344440ms from TEAM73 @ site 1 id Run--7907584274492970927 problem KIEM_TRA_-_BAI_1-3463902604115463669 lang C/C++-5592322842927734949
200603 182731.208|INFO|Thread-10|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200603 182731.209|INFO|Thread-10|info|handlePacket start Packet[RUN_JUDGEMENT] #585 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 182731.209|INFO|Thread-10|dumpPacket|Packet RUN_JUDGEMENT (Seq #585, o#585 ) handlePacket
200603 182731.209|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 182731.209|INFO|Thread-10|dumpPacket|    To: TEAM73 @ site 1
200603 182731.210|INFO|Thread-10|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE1 @ site 1 judgement Yes-871190264187916889 id JudgementRecord-470821345528303901
200603 182731.210|INFO|Thread-10|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 22 JUDGED 22 min 1344440ms from TEAM73 @ site 1 id Run--7907584274492970927 problem KIEM_TRA_-_BAI_1-3463902604115463669 lang C/C++-5592322842927734949
200603 182731.210|INFO|Thread-10|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200603 182735.118|INFO|Thread-10|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 22 JUDGED 22 min 1344440ms from TEAM73 @ site 1 id Run--7907584274492970927 problem KIEM_TRA_-_BAI_1-3463902604115463669 lang C/C++-5592322842927734949; runFiles=null
200603 182735.118|INFO|Thread-10|runChanged|Event not for me: sent to null but my ID is TEAM73 @ site 1
200603 182735.119|INFO|Thread-10|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #585 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 182735.716|INFO|Thread-9|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #580 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 183927.319|INFO|Thread-11|info| receiveObject(S) start got Packet[ADD_SETTING] #850 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 183927.320|INFO|Thread-11|dumpPacket|Packet ADD_SETTING (Seq #850, o#10 ) recieveObject
200603 183927.320|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 183927.320|INFO|Thread-11|dumpPacket|    To: SERVER0 @ site 0
200603 183927.320|INFO|Thread-11|dumpPacket|   key: JUDGEMENT is: edu.csus.ecs.pc2.core.model.Judgement DE NGHI KHONG COPY!!!!
200603 183927.320|INFO|Thread-11|info|handlePacket start Packet[ADD_SETTING] #850 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 183927.321|INFO|Thread-11|dumpPacket|Packet ADD_SETTING (Seq #850, o#10 ) handlePacket
200603 183927.321|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 183927.321|INFO|Thread-11|dumpPacket|    To: SERVER0 @ site 0
200603 183927.321|INFO|Thread-11|dumpPacket|   key: JUDGEMENT is: edu.csus.ecs.pc2.core.model.Judgement DE NGHI KHONG COPY!!!!
200603 183927.322|INFO|Thread-11|info|handlePacket end Packet[ADD_SETTING] #850 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 183927.322|INFO|Thread-11|info| receiveObject(S) end   got Packet[ADD_SETTING] #850 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 184647.511|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for KIEM TRA - BAI 2 C/C++ file: C:\Users\Admin\Desktop\kt\bai2.cpp
200603 184647.514|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #4 TEAM73 @ site 1 -> SERVER0 @ site 1
200603 184647.514|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #4 TEAM73 @ site 1 -> SERVER0 @ site 1
200603 184647.688|INFO|Thread-13|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #1080 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 184647.688|INFO|Thread-13|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1080, o#1080 ) recieveObject
200603 184647.689|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 184647.689|INFO|Thread-13|dumpPacket|    To: TEAM73 @ site 1
200603 184647.689|INFO|Thread-13|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 74 QUEUED_FOR_COMPUTER_JUDGEMENT 41 min 2502010ms from TEAM73 @ site 1 id Run--303813985910926905 problem KIEM_TRA_-_BAI_2--7466813748130994971 lang C/C++-5592322842927734949
200603 184647.689|INFO|Thread-13|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #1080 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 184647.690|INFO|Thread-13|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #1080, o#1080 ) handlePacket
200603 184647.690|INFO|Thread-13|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 184647.690|INFO|Thread-13|dumpPacket|    To: TEAM73 @ site 1
200603 184647.690|INFO|Thread-13|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 74 QUEUED_FOR_COMPUTER_JUDGEMENT 41 min 2502010ms from TEAM73 @ site 1 id Run--303813985910926905 problem KIEM_TRA_-_BAI_2--7466813748130994971 lang C/C++-5592322842927734949
200603 184650.972|INFO|Thread-14|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #1084 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 184650.973|INFO|Thread-14|dumpPacket|Packet RUN_JUDGEMENT (Seq #1084, o#1084 ) recieveObject
200603 184650.973|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 184650.973|INFO|Thread-14|dumpPacket|    To: TEAM73 @ site 1
200603 184650.973|INFO|Thread-14|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No_-_Time_Limit_Exceeded--7056410949384546913 id JudgementRecord-3130342157297124072
200603 184650.973|INFO|Thread-14|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 74 JUDGED 41 min 2502010ms from TEAM73 @ site 1 id Run--303813985910926905 problem KIEM_TRA_-_BAI_2--7466813748130994971 lang C/C++-5592322842927734949
200603 184650.974|INFO|Thread-14|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200603 184650.974|INFO|Thread-14|info|handlePacket start Packet[RUN_JUDGEMENT] #1084 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 184650.975|INFO|Thread-14|dumpPacket|Packet RUN_JUDGEMENT (Seq #1084, o#1084 ) handlePacket
200603 184650.975|INFO|Thread-14|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 184650.975|INFO|Thread-14|dumpPacket|    To: TEAM73 @ site 1
200603 184650.975|INFO|Thread-14|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No_-_Time_Limit_Exceeded--7056410949384546913 id JudgementRecord-3130342157297124072
200603 184650.976|INFO|Thread-14|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 74 JUDGED 41 min 2502010ms from TEAM73 @ site 1 id Run--303813985910926905 problem KIEM_TRA_-_BAI_2--7466813748130994971 lang C/C++-5592322842927734949
200603 184650.976|INFO|Thread-14|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
200603 184653.116|INFO|Thread-14|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 74 JUDGED 41 min 2502010ms from TEAM73 @ site 1 id Run--303813985910926905 problem KIEM_TRA_-_BAI_2--7466813748130994971 lang C/C++-5592322842927734949; runFiles=null
200603 184653.116|INFO|Thread-14|runChanged|Event not for me: sent to null but my ID is TEAM73 @ site 1
200603 184653.116|INFO|Thread-14|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #1084 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 184653.814|INFO|Thread-13|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #1080 SERVER0 @ site 1 -> TEAM73 @ site 1
200603 191243.655|INFO|Thread-15|info| receiveObject(S) start got Packet[CLOCK_STOPPED] #1532 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 191243.655|INFO|Thread-15|dumpPacket|Packet CLOCK_STOPPED (Seq #1532, o#1532 ) recieveObject
200603 191243.656|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 191243.656|INFO|Thread-15|dumpPacket|    To: SERVER0 @ site 0
200603 191243.656|INFO|Thread-15|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
200603 191243.656|INFO|Thread-15|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
200603 191243.656|INFO|Thread-15|info|handlePacket start Packet[CLOCK_STOPPED] #1532 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 191243.656|INFO|Thread-15|dumpPacket|Packet CLOCK_STOPPED (Seq #1532, o#1532 ) handlePacket
200603 191243.657|INFO|Thread-15|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 191243.657|INFO|Thread-15|dumpPacket|    To: SERVER0 @ site 0
200603 191243.657|INFO|Thread-15|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
200603 191243.657|INFO|Thread-15|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
200603 191243.658|INFO|Thread-15|info|Clock for site 1 stopped by ADMINISTRATOR1 @ site 1 elapsed 1:07:37
200603 191243.658|INFO|Thread-15|info| receiveObject(S) end   got Packet[CLOCK_STOPPED] #1532 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 191300.124|INFO|Thread-16|info| receiveObject(S) start got Packet[UPDATE_SETTING] #1542 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 191300.125|INFO|Thread-16|dumpPacket|Packet UPDATE_SETTING (Seq #1542, o#12 ) recieveObject
200603 191300.125|INFO|Thread-16|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 191300.125|INFO|Thread-16|dumpPacket|    To: SERVER0 @ site 0
200603 191300.125|INFO|Thread-16|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@1fc12969
200603 191300.126|INFO|Thread-16|info|handlePacket start Packet[UPDATE_SETTING] #1542 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 191300.126|INFO|Thread-16|dumpPacket|Packet UPDATE_SETTING (Seq #1542, o#12 ) handlePacket
200603 191300.126|INFO|Thread-16|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 191300.126|INFO|Thread-16|dumpPacket|    To: SERVER0 @ site 0
200603 191300.126|INFO|Thread-16|dumpPacket|   key: CONTEST_TIME is: edu.csus.ecs.pc2.core.model.ContestTime edu.csus.ecs.pc2.core.model.ContestTime@1fc12969
200603 191300.127|INFO|Thread-16|info|handlePacket end Packet[UPDATE_SETTING] #1542 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 191300.127|INFO|Thread-16|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #1542 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 191300.310|INFO|Thread-17|info| receiveObject(S) start got Packet[CLOCK_STARTED] #1543 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 191300.310|INFO|Thread-17|dumpPacket|Packet CLOCK_STARTED (Seq #1543, o#1543 ) recieveObject
200603 191300.310|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 191300.310|INFO|Thread-17|dumpPacket|    To: SERVER0 @ site 0
200603 191300.310|INFO|Thread-17|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
200603 191300.311|INFO|Thread-17|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
200603 191300.311|INFO|Thread-17|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1591186394857,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2020,MONTH=5,WEEK_OF_YEAR=23,WEEK_OF_MONTH=1,DAY_OF_MONTH=3,DAY_OF_YEAR=155,DAY_OF_WEEK=4,DAY_OF_WEEK_IN_MONTH=1,AM_PM=1,HOUR=0,HOUR_OF_DAY=12,MINUTE=13,SECOND=14,MILLISECOND=857,ZONE_OFFSET=0,DST_OFFSET=0]
200603 191300.311|INFO|Thread-17|info|handlePacket start Packet[CLOCK_STARTED] #1543 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 191300.311|INFO|Thread-17|dumpPacket|Packet CLOCK_STARTED (Seq #1543, o#1543 ) handlePacket
200603 191300.311|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 191300.311|INFO|Thread-17|dumpPacket|    To: SERVER0 @ site 0
200603 191300.312|INFO|Thread-17|dumpPacket|   key: SITE_NUMBER is: java.lang.Integer 1
200603 191300.312|INFO|Thread-17|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId ADMINISTRATOR1 @ site 1
200603 191300.312|INFO|Thread-17|dumpPacket|   key: SERVER_CLOCK_OFFSET is: java.util.GregorianCalendar java.util.GregorianCalendar[time=1591186394857,areFieldsSet=true,areAllFieldsSet=false,lenient=true,zone=sun.util.calendar.ZoneInfo[id="GMT",offset=0,dstSavings=0,useDaylight=false,transitions=0,lastRule=null],firstDayOfWeek=1,minimalDaysInFirstWeek=1,ERA=1,YEAR=2020,MONTH=5,WEEK_OF_YEAR=23,WEEK_OF_MONTH=1,DAY_OF_MONTH=3,DAY_OF_YEAR=155,DAY_OF_WEEK=4,DAY_OF_WEEK_IN_MONTH=1,AM_PM=1,HOUR=0,HOUR_OF_DAY=12,MINUTE=13,SECOND=14,MILLISECOND=857,ZONE_OFFSET=0,DST_OFFSET=0]
200603 191300.312|INFO|Thread-17|info|Clock for site 1 started by ADMINISTRATOR1 @ site 1 elapsed 1:07:38
200603 191300.313|INFO|Thread-17|info| receiveObject(S) end   got Packet[CLOCK_STARTED] #1543 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 191301.393|INFO|Thread-18|info| receiveObject(S) start got Packet[UPDATE_SETTING] #1544 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 191301.393|INFO|Thread-18|dumpPacket|Packet UPDATE_SETTING (Seq #1544, o#13 ) recieveObject
200603 191301.393|INFO|Thread-18|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 191301.393|INFO|Thread-18|dumpPacket|    To: SERVER0 @ site 0
200603 191301.394|INFO|Thread-18|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@4f2ebd7b
200603 191301.394|INFO|Thread-18|info|handlePacket start Packet[UPDATE_SETTING] #1544 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 191301.394|INFO|Thread-18|dumpPacket|Packet UPDATE_SETTING (Seq #1544, o#13 ) handlePacket
200603 191301.394|INFO|Thread-18|dumpPacket|  From: SERVER0 @ site 1, oADMINISTRATOR1 @ site 1 (CNTT1-CNPM @ 10.170.100.147) (Contest Id: Default-3103216194707311729)
200603 191301.394|INFO|Thread-18|dumpPacket|    To: SERVER0 @ site 0
200603 191301.394|INFO|Thread-18|dumpPacket|   key: CONTEST_INFORMATION is: edu.csus.ecs.pc2.core.model.ContestInformation edu.csus.ecs.pc2.core.model.ContestInformation@4f2ebd7b
200603 191301.395|INFO|Thread-18|info|handlePacket end Packet[UPDATE_SETTING] #1544 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 191301.395|INFO|Thread-18|info| receiveObject(S) end   got Packet[UPDATE_SETTING] #1544 SERVER0 @ site 1 -> SERVER0 @ site 0
200603 192538.306|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for KIEM TRA - BAI 2 C/C++ file: C:\Users\Admin\Desktop\kt\bai2.cpp
200603 192538.315|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #5 TEAM73 @ site 1 -> SERVER0 @ site 1
200603 192538.316|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #5 TEAM73 @ site 1 -> SERVER0 @ site 1
200603 192538.517|INFO|Thread-20|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #1907 SERVER0 @ site 1 -> TEAM73 @ site 1
